日期,教案1,教案2,教案3
DAY1,三段式(一),模擬運動(一),轉球運動(一)
DAY2,三段式(二),幾何特性(二),分類(二)
DAY3,基本運動(一),模擬運動(一),分類(一)
DAY4,數數(一),序數(一),猜位置(一)
DAY5,三段式(一),模擬運動(一),轉球運動(一)
DAY6,三段式(二),幾何特性(二),分類(二)
DAY7,基本運動(一),模擬運動(一),分類(一)
DAY8,數數(一),序數(一),猜位置(一)
DAY9,滾動(二),投影面(二),
DAY10,轉動(二),比較(一二),
DAY11,長度順序(八),大小順序(九),
DAY12,轉動(二),滾動(二),投影面(二)
DAY13,滾動(二),投影面(二),
DAY14,轉動(二),比較(一二),
DAY15,長度順序(八),大小順序(九),
DAY16,轉動(二),滾動(二),投影面(二)
