日期,教案1,教案2,教案3
DAY1,三段式(一),模擬運動(一),轉球運動(一)
DAY2,三段式(一),序數(一),模擬運動(一)
DAY3,轉球運動(一),模擬運動(一),序數(一)
DAY4,模擬運動(一),三段式(一),轉球運動(一)
DAY5,三段式(一),序數(一),轉球運動(一)
DAY6,序數(一),模擬運動(一),轉球運動(一)
DAY7,三段式(一),序數(一),模擬運動(一)
DAY8,三段式(一),三段式(一),序數(一)
DAY9,三段式(一),模擬運動(一),轉球運動(一)
DAY10,三段式(一),序數(一),模擬運動(一)
