日期,教案1,教案2,教案3,教案4
DAY1,倍數(三),倍數(四),,
DAY2,組合長方形(五),組合梯形(五),,
DAY3,三段式(七),三段式(八),組合正方形(五),組合三角形(五)
DAY4,放回(七八),放回(九十),,
DAY5,倍數(三),倍數(四),,
DAY6,組合長方形(五),組合梯形(五),,
DAY7,三段式(七),三段式(八),組合正方形(五),組合三角形(五)
DAY8,放回(七八),放回(九十),,
DAY9,倍數(三),倍數(四),,
DAY10,組合長方形(五),組合梯形(五),,
DAY11,三段式(七),三段式(八),組合正方形(五),組合三角形(五)
DAY12,放回(七八),放回(九十),,
DAY13,倍數(三),倍數(四),,
DAY14,組合長方形(五),組合梯形(五),,
DAY15,三段式(七),三段式(八),組合正方形(五),組合三角形(五)
DAY16,放回(七八),放回(九十),,
