日期,教案1,教案2,教案3
DAY1,取放(三),取放(四),
DAY2,橫花樣(三),橫花樣(四),
DAY3,四方向對稱(三),四方向對稱(四),
DAY4,分解組合(三),分解組合(四),
DAY5,取放(三),取放(四),
DAY6,橫花樣(三),橫花樣(四),
DAY7,四方向對稱(三),四方向對稱(四),
DAY8,分解組合(三),分解組合(四),
DAY9,中間容積量(三),橫花樣(三四),
DAY10,中間容積量(四),橫花樣(三四),
DAY11,橫花樣(三四),四方向對稱(三四),
DAY12,分解組合(三四),中間容積量(三),中間容積量(四)
DAY13,中間容積量(三),橫花樣(三四),
DAY14,中間容積量(四),橫花樣(三四),
DAY15,中間容積量(四),橫花樣(三四),
DAY16,中間容積量(四),橫花樣(三四),
