日期,教案1,教案2,教案3,教案4
DAY1,取放(五),取放(六),,
DAY2,三段式(五),三段式(六),取放(五),取放(六)
DAY3,分類(五),分類(六),取放(五),取放(六)
DAY4,分解組合(五),分解組合(六),,
DAY5,取放(五),取放(六),,
DAY6,三段式(五),三段式(六),取放(五),取放(六)
DAY7,分類(五),分類(六),取放(五),取放(六)
DAY8,分解組合(五),分解組合(六),,
DAY9,取放(五),取放(六),,
DAY10,中間容積量(五),中間容積量(六),,
DAY11,三方向對稱(五),三方向對稱(六),,
DAY12,三方向對稱(五六),,,
DAY13,取放(五),取放(六),,
DAY14,中間容積量(五),中間容積量(六),,
DAY15,三方向對稱(五),三方向對稱(六),,
DAY16,三方向對稱(五六),,,
